,Id,Elderly_ratio,Median_age,White_ratio,Black_ratio,Asian_ratio,Others_ratio,commute_up60min_ratio,Noschooling_ratio,Master_ratio,Spanish_lan_ratio,Europe_lan_ratio,Asian_lan_ratio,Other_lan_ratio,Median_income,Social_security_income_ratio,Unemplyed_ratio,Vacant_ratio,Householders,Hoseholders_Ratio,White_household_ratio,Black_household_ratio,Asian_household_ratio,Household_15_34_ratio,Household_35_64_ratio,Household_65over_ratio,gas_ratio,LPgas_ratio,Electricity_ratio,FuelOil_ratio,Coal_ratio,Wood_ratio,Solar_ratio,Otherfuel_ratio,Nofuelused_ratio,Median_contract_rent,Per_capita_income,BG,BBL,Full_Address,normalized_gap
32,1500000US360610006004,15.81,48.1,16.36,6.67,76.97,0.0,1.75,6.12,1.11,0.0,0.0,18.11,0.0,10351,9.45,2.54,7.69,360.0,28.59,11.39,2.5,35.0,4.17,79.44,16.39,40.56,8.06,0.0,51.39,0.0,0.0,0.0,0.0,0.0,710,6626.0,360610006004,1002710042.0,"217 MADISON STREET New York, NY 10002",0.05
33,1500000US360610006004,15.81,48.1,16.36,6.67,76.97,0.0,1.75,6.12,1.11,0.0,0.0,18.11,0.0,10351,9.45,2.54,7.69,360.0,28.59,11.39,2.5,35.0,4.17,79.44,16.39,40.56,8.06,0.0,51.39,0.0,0.0,0.0,0.0,0.0,710,6626.0,360610006004,1002710051.0,"166 HENRY STREET New York, NY 10002",0.0
34,1500000US360610006006,25.46,41.8,17.27,1.61,53.42,27.7,2.09,13.5,0.86,0.0,0.0,8.86,0.0,20381,15.29,3.36,0.0,846.0,31.63,32.74,4.73,17.38,14.39,41.79,43.81,44.8,3.19,35.93,16.08,0.0,0.0,0.0,0.0,0.0,390,14827.0,360610006006,1002467501.0,"311 CHERRY STREET New York, NY 10002",-0.0175438596491
35,1500000US360610006006,25.46,41.8,17.27,1.61,53.42,27.7,2.09,13.5,0.86,0.0,0.0,8.86,0.0,20381,15.29,3.36,0.0,846.0,31.63,32.74,4.73,17.38,14.39,41.79,43.81,44.8,3.19,35.93,16.08,0.0,0.0,0.0,0.0,0.0,390,14827.0,360610006006,1002467501.0,"257 CLINTON STREET New York, NY 10002",-0.0175438596491
36,1500000US360610007001,1.57,28.9,72.37,3.34,19.57,4.72,3.07,1.49,19.93,0.97,0.0,1.09,0.0,114519,1.35,3.14,14.98,4610.0,53.62,67.83,3.99,7.27,74.16,24.58,1.26,21.21,0.0,71.74,3.82,0.0,0.0,0.0,1.32,1.91,2000,94254.0,360610007001,1000280001.0,"2 WILLIAM STREET New York, NY 10004",0.0
37,1500000US360610007001,1.57,28.9,72.37,3.34,19.57,4.72,3.07,1.49,19.93,0.97,0.0,1.09,0.0,114519,1.35,3.14,14.98,4610.0,53.62,67.83,3.99,7.27,74.16,24.58,1.26,21.21,0.0,71.74,3.82,0.0,0.0,0.0,1.32,1.91,2000,94254.0,360610007001,1000310001.0,"4 HANOVER SQUARE New York, NY 10005",0.0
38,1500000US360610008001,22.6,49.8,9.7,0.48,82.35,7.47,5.72,13.48,5.43,0.0,0.0,23.86,0.0,19013,9.8,12.12,24.91,398.0,38.6,9.05,0.0,24.62,0.0,71.11,28.89,51.01,3.27,3.52,37.94,0.0,0.0,0.0,0.0,4.27,845,12223.0,360610008001,1002800013.0,"45 HENRY STREET New York, NY 10002",-0.117647058824
39,1500000US360610008001,22.6,49.8,9.7,0.48,82.35,7.47,5.72,13.48,5.43,0.0,0.0,23.86,0.0,19013,9.8,12.12,24.91,398.0,38.6,9.05,0.0,24.62,0.0,71.11,28.89,51.01,3.27,3.52,37.94,0.0,0.0,0.0,0.0,4.27,845,12223.0,360610008001,1002800052.0,"17 CATHERINE STREET New York, NY 10038",-0.03125
40,1500000US360610008001,22.6,49.8,9.7,0.48,82.35,7.47,5.72,13.48,5.43,0.0,0.0,23.86,0.0,19013,9.8,12.12,24.91,398.0,38.6,9.05,0.0,24.62,0.0,71.11,28.89,51.01,3.27,3.52,37.94,0.0,0.0,0.0,0.0,4.27,845,12223.0,360610008001,1002800003.0,"27 HENRY STREET New York, NY 10002",0.125
41,1500000US360610008001,22.6,49.8,9.7,0.48,82.35,7.47,5.72,13.48,5.43,0.0,0.0,23.86,0.0,19013,9.8,12.12,24.91,398.0,38.6,9.05,0.0,24.62,0.0,71.11,28.89,51.01,3.27,3.52,37.94,0.0,0.0,0.0,0.0,4.27,845,12223.0,360610008001,1002810018.0,"40 EAST BROADWAY New York, NY 10002",-0.5
